Table S1: Unique studies reported in EWAS Atlas 
Stage,Platform,Sample size,Male(%),Age(min),Age(max),Age(mean),Age(sd),Tissue,Cohort name,Full name,Description,Ancestry,Tissue
Initial,450K,19,1,null,null,null,null,sperm,,,heavy smokers,Not reported,sperm
Initial,450K,190,0,null,null,51.3,8.9,buffy coat,,,Former smokers,European,buffy coat
Initial,450K,190,0.35,null,null,73,5,whole blood,CHS,Cardiovascular Health Study,,African American or Afro-Caribbean,whole blood
Initial,450K,190,0.42,5,14,10.2,null,saliva,,,94 maltreated children and 96 healthy control children,African American or Afro-Caribbean;European;Hispanic or Latin American;Other admixed ancestry,saliva
Initial,450K,190,0.44,0,0,0,0,cord blood,,,,East Asian,cord blood
Initial,450K,191,0.5,null,null,8.1,0.3,whole blood,PIAMA,Prevention and Incidence of Asthma and Mite Allergy,,European,whole blood
Initial,450K,191,0.54,null,null,58.3,8.4,buffy coat,,,Current smokers,European,buffy coat
Initial,450K,191,0.62,null,null,50.1,14.4,prefrontal cortex,,,schizophrenia,European;Not reported,prefrontal cortex
Initial,450K,192,0.42,5,14,10.2,null,saliva,,,96 were maltreated children,African American or Afro-Caribbean;European;Hispanic or Latin American;Other admixed ancestry,saliva
Initial,450K,192,0.55,null,null,36.2,18.8,peripheral blood mononuclear cell,,,,European,peripheral blood mononuclear cell
Initial,450K,192,1,62,71,66,null,whole blood,KING,,,African American or Afro-Caribbean;European;Hispanic or Latin American,whole blood
Initial,450K,192,1,null,null,65.8,6,whole blood,,,Controls,East Asian,whole blood
Initial,450K,192,1,null,null,65.9,6.4,whole blood,,,Cases,East Asian,whole blood
Initial,450K,193,0,null,null,48.6,8.8,whole blood,EPIC,European Prospective Investigation into Cancer and Nutrition,Current smokers,European,whole blood
Initial,450K,193,0.52,0,0,0,0,cord blood,MoBa,Mother and Child Cohort Study,,European,cord blood
Initial,450K,193,0.55,null,null,65.3,11,tumor tissue and adjacent normal tissue,,,pancreatic adenocarcinoma,Not reported,tumor tissue and adjacent normal tissue
Initial,450K,193,0.56,8,10,null,null,whole blood,GALA II,,,Not reported,whole blood
Initial,450K,1935,0.39,null,null,65,9,whole blood,FHS,,,European,whole blood
Initial,450K,194,0.53,16.5,16.5,16.5,0,whole blood,ALSPAC,Avon Longitudinal Study of Parents and Children,Ever asthma,Not reported,whole blood
Initial,450K,194,0.56,36,70,54.4,6.4,whole blood,EPIC,European Prospective Investigation into Cancer and Nutrition,,European,whole blood
Initial,450K,194,0.68,null,null,64.9,8.3,carotid plaque,AEMS450K1,Athero-Express Biobank Study,Current Smokers,Not reported,carotid plaque
Initial,450K,195,0,null,null,59.1,9.71,skin,TwinsUK,,37 current smokers and 158 non-smokers cancer-free female subjects,European,skin
Initial,450K,195,0.5,null,null,58.1,6.7,whole blood,,Rotterdam Study,Current smokers,European,whole blood
Initial,450K,196,0,null,null,48.9,8.8,buffy coat,,,Current smokers,European,buffy coat
Initial,450K,196,0.45,null,null,1.4,null,leukocyte,,,Controls,Not reported,leukocyte
Initial,450K,196,null,null,null,73,5.4,blood,CHS,Cardiovascular Health Study,,African American or Afro-Caribbean,blood
Initial,450K,196,null,null,null,null,null,whole blood,,,diabetic kidney disease,European,whole blood
Initial,450K,197,0.5,4,16,null,null,whole blood,PIAMA,,,European,whole blood
Initial,450K,197,0.51,0,0,0,0,cord blood,ENVIRONAGE,,,European,cord blood
Initial,450K,199,0.4,0,0,0,0,whole blood,CHS,,,Other admixed ancestry,whole blood
Initial,450K,199,0.47,null,null,39.6,16.9,whole blood,F5L,The French-Canadian Family study on Factor V Leiden,,Not reported,whole blood
Initial,450K,2,0.5,11.5,14.3,12.9,1.97,bone marrow,,,t(9;22),European,bone marrow
Initial,450K,2,0.5,null,null,null,null,metastatic tumor,,,metastatic tumors,East Asian,metastatic tumor
Initial,450K,2,0.5,null,null,null,null,primary tumor,,,primary tumor,East Asian,primary tumor
Initial,450K,2,1,43,55,49,8.5,gastric mucosa,,,unsuccessfully eradicated,East Asian,gastric mucosa
Initial,450K,2,1,43,55,49,8.5,leukocyte,,,unsuccessfully eradicated,East Asian,leukocyte
Initial,450K,2,null,null,null,null,null,BEAS-2B cell,,,,Not reported,BEAS-2B cell
Initial,450K,2,null,null,null,null,null,lymphoblastoid cell line,,,healthy control,Not reported,lymphoblastoid cell line
Initial,450K,20,0,null,null,47,null,saliva,,,Folic acid 200µg/day,Not reported,saliva
Initial,450K,20,0,null,null,63.1,4.8,peripheral blood mononuclear cell,,,control,Not reported,peripheral blood mononuclear cell
Initial,450K,20,0.3,null,null,26.5,6.7,whole blood,,,Controls,European,whole blood
Initial,450K,20,0.35,null,null,36.2,null,leukocyte,,,with depressive symptoms,Not reported,leukocyte
Initial,450K,20,0.4,null,null,36.6,6.6,whole blood,,,Case Group I,European,whole blood
Initial,450K,20,0.45,null,null,79.69,9.64,entorhinal Cortex,,,symptomatic AD,Not reported,entorhinal Cortex
Initial,450K,20,0.5,0,0,0,0,placenta,,,normotensive preterm birth,Not reported,placenta
Initial,450K,20,0.5,0,0,0,0,umbilical cord leukocyte,,,normotensive preterm birth,Not reported,umbilical cord leukocyte
Initial,450K,20,0.5,null,null,17.2,7.1,whole blood,,EuroPrevall study,Controls,European,whole blood
Initial,450K,20,0.55,0,0,0,0,cord blood,,,Array cohort A insulin-treated GDM,European,cord blood
Initial,450K,20,0.6,null,null,11.8,4.8,whole blood,,EuroPrevall study,cow’s milk allergy,European,whole blood
Initial,450K,20,0.6,null,null,null,null,whole blood,,,carriers of the linked haplotye (LH),Not reported,whole blood
Initial,450K,20,0.8,10,null,6,15,nasal epithelial cell,,,,African unspecified;European;Other admixed ancestry,nasal epithelial cell
Initial,450K,20,1,21,51,35.3,8.9,peripheral blood mononuclear cell,,,,African American or Afro-Caribbean;Asian unspecified;European;Other admixed ancestry,peripheral blood mononuclear cell
Initial,450K,20,1,null,null,28.9,1.3,sperm,,,Low motility,Not reported,sperm
Initial,450K,20,1,null,null,36.4,3.2,sperm,,,m proven fertile males,Not reported,sperm
Initial,450K,20,1,null,null,36.4,3.2,sperm,,,oligospermic males,Not reported,sperm
Initial,450K,20,1,null,null,47.8,4.3,peripheral blood,SABRE,Southall And Brent REvisited,Current smokers,South Asian,peripheral blood
Initial,450K,20,1,null,null,null,null,sperm,,,nonsmokers,Not reported,sperm
Initial,450K,20,null,19.7,42.9,33.5,null,chorionic villi,,,EOPET,Not reported,chorionic villi
Initial,450K,20,null,25,37.3,31.8,null,chorionic villi,,,control,Not reported,chorionic villi
Initial,450K,20,null,null,null,null,null,bone marrow,,,ETV6-RUNX1,Not reported,bone marrow
Initial,450K,20,null,null,null,null,null,bone marrow,,,high hyperdiploidy (51–65 chromosomes),Not reported,bone marrow
Initial,450K,20,null,null,null,null,null,whole blood,,,healthy individuals,East Asian,whole blood
Initial,450K,200,1,58,67,62,null,whole blood,ESTHER,,,European,whole blood
Initial,450K,2003,0.36,null,null,56,6,whole blood,ARIC,Atherosclerosis Risk in Communities,,African American or Afro-Caribbean,whole blood
Initial,450K,201,0.33,null,null,79.1,0.6,whole blood,,,Never smokers,European,whole blood
Initial,450K,201,0.85,null,null,63,11.9,tumor tissue and adjacent normal tissue,,,esophageal carcinoma,Not reported,tumor tissue and adjacent normal tissue
Initial,450K,202,1,null,null,50,8.4,whole blood,,,Never (Control),European;Other,whole blood
Initial,450K,2029,0.31,null,null,36.4,12.4,whole blood,NTR,Netherlands Twin Register,,Not reported,whole blood
Initial,450K,203,0.5,null,null,61,6.95,leukocyte,,,Japanese Americans,East Asian,leukocyte
Initial,450K,204,0.5,null,null,10.3,1.3,whole blood,EPOCH,Exploring Perinatal Outcomes in Children study,gestational diabetes-unexposed,Not reported,whole blood
Initial,450K,204,0.53,16.5,16.5,16.5,0,whole blood,ALSPAC,Avon Longitudinal Study of Parents and Children,Ever wheeze,Not reported,whole blood
Initial,450K,204,0.57,null,null,75,11.4,whole blood,BASICMAR_1,,control,European,whole blood
Initial,450K,205,0.52,0,0,0,0,whole blood,MoBa3,,,European,whole blood
Initial,450K,207,0.54,0,0,0,0,placenta,,,,African unspecified;Hispanic or Latin American;Other admixed ancestry,placenta
Initial,450K,207,0.55,null,null,57.1,7,whole blood,KORA F4,Kooperative Gesundheitsforschung in der Region Augsburg,Current smokers follow-up,Not reported,whole blood
Initial,450K,2097,0.36,47,70,56.2,5.7,leukocyte,ARIC,Atherosclerosis Risk in Communities,,African American or Afro-Caribbean,leukocyte
Initial,450K,21,0.38,2,29,9,null,whole blood,,,Control,Not reported,whole blood
Initial,450K,21,0.38,2,31,9,null,whole blood,,,17q12 deletion,Not reported,whole blood
Initial,450K,21,0.43,0,0,0,0,cord blood,ALSPAC,Avon Longitudinal Study of Parents and Children,Active ED,Not reported,cord blood
Initial,450K,21,0.48,null,null,null,null,peripheral blood mononuclear cell,,,Non-responders,Not reported,peripheral blood mononuclear cell
Initial,450K,21,0.524,null,null,79.95,9.46,dorsolateral prefrontal cortex,,,Symptomatic AD,Not reported,dorsolateral prefrontal cortex
Initial,450K,21,1,null,null,null,null,ascending aortic tissue,,,,Not reported,ascending aortic tissue
Initial,450K,21,null,null,null,0.72,0.06,leukocyte,,,Controls,African American or Afro-Caribbean;European;Hispanic or Latin American,leukocyte
Initial,450K,210,0.37,null,null,59.2,8.4,whole blood,,,Never smokers,European,whole blood
Initial,450K,210,0.37,null,null,59.2,8.4,whole blood,,Rotterdam Study,Never smokers,European,whole blood
Initial,450K,210,0.48,null,null,39.8,16.8,leukocyte,,FrenchCanadian family study on F5L thrombophilia,,European,leukocyte
Initial,450K,2106,0.37,null,null,56,6,whole blood,ARIC,,,African American or Afro-Caribbean,whole blood
Initial,450K,211,0.48,null,null,39.7,16.8,whole blood,F5L,,,European,whole blood
Initial,450K,211,0.5,null,null,28.17,14.83,whole blood,SFS,STANISLAS Family Study,,European,whole blood
Initial,450K,211,null,null,null,34,4.7,cord blood,EARLI,,,European;Other admixed ancestry,cord blood
Initial,450K,211,null,null,null,34,4.7,cord blood ,EARLI,,,European;Other admixed ancestry,cord blood 
Initial,450K,212,0.52,null,null,4.4,0.2,whole blood,INMA-SAB,Infancia y Medio Ambiente,,European,whole blood
Initial,450K,213,0.46,null,null,79.1,0.6,whole blood,,,Former smokers,European,whole blood
Initial,450K,213,0.51,0,0,0,0,cord blood,NEST,,,Not reported,cord blood
Initial,450K,213,1,null,null,37.6,10.1,whole blood,NTR,Netherlands Twin Register,31 cases and 182 controls,Not reported,whole blood
Initial,450K,214,0.54,null,null,4.1,0.2,whole blood,PIAMA,Prevention and Incidence of Asthma and Mite Allergy,,European,whole blood
Initial,450K,214,0.56,8,8,8,0,whole blood,BAMSE MeDALL,,,European,whole blood
Initial,450K,2148,0.46,40,92,65,null,peripheral blood mononuclear cell,FHS offspring,Framingham Heart Study Offspring Cohort,,European,peripheral blood mononuclear cell
Initial,450K,215,0.59,40,70,58.1,7.5,whole blood,MCCS,Melbourne Collaborative Cohort Study,,European,whole blood
Initial,450K,216,0,null,null,54.2,6.4,whole blood,EPIC-Italy,,,Not reported,whole blood
Initial,450K,216,0.39,null,null,8.2,9.1,peripheral blood,,,controls,Not reported,peripheral blood
Initial,450K,216,0.58,null,null,56,14,CD4+ T cell,,,Former smokers,European,CD4+ T cell
Initial,450K,217,null,null,null,null,null,kidney,,,,Not reported,kidney
Initial,450K,218,0,null,null,19.3,0.7,lymphocyte,,Strong African- American Healthy Adults project,,African American or Afro-Caribbean,lymphocyte
Initial,450K,219,0.26,null,null,65.9,6.4,whole blood,GENOA,Genetic Epidemiology Network of Arteriopathy,,African American or Afro-Caribbean,whole blood
Initial,450K,2199,0.31,null,null,38.2,12.6,leukocyte,NTR,,,Not reported,leukocyte
Initial,450K,22,0,51,89,null,null,peripheral blood mononuclear cell,CaMos,Canadian Multicenter Osteoporosis Study,osteoporosis subjects,Not reported,peripheral blood mononuclear cell
Initial,450K,22,0,52,85,null,null,peripheral blood mononuclear cell,CaMos,Canadian Multicenter Osteoporosis Study,normal subjects,Not reported,peripheral blood mononuclear cell
Initial,450K,22,0,9,12,10.9,1.26,saliva,,,,European;Not reported,saliva
Initial,450K,22,0,null,null,38,0.2,peripheral blood mononuclear cell,,,never-smokers,European,peripheral blood mononuclear cell
Initial,450K,22,0,null,null,38.2,11.1,CD4+ T cell,,,control,Not reported,CD4+ T cell
Initial,450K,22,0,null,null,58,19.13,CD19+ B cell,,,Healthy controls,European,CD19+ B cell
Initial,450K,22,0.27,16,69,34,null,CD14+ monocyte,,,,Not reported,CD14+ monocyte
Initial,450K,22,0.46,null,null,21.4,3.2,whole blood,BFS,Scottish Bipolar Family Study,well high-risk individuals who developed a mood disorder,Not reported,whole blood
Initial,450K,22,0.5,0,0,0,0,cord blood,PELS,Prenatal Early Life Stress cohort,Low pregnancy anxiety,European,cord blood
Initial,450K,22,0.5,null,null,38.1,5.6,whole blood,,,Controls,African American or Afro-Caribbean;European;Other,whole blood
Initial,450K,22,0.5,null,null,41.6,2.8,leukocyte,CARDIA,Coronary Artery Risk Development in Young Adults,,European,leukocyte
Initial,450K,22,0.55,null,null,36.3,9.3,whole blood,,,Intermittent explosive disorder,African American or Afro-Caribbean;European;Other,whole blood
Initial,450K,22,0.64,0,0,0,0,placenta,,,early-onset preeclampsia,Asian unspecified;European;Other,placenta
Initial,450K,220,0.57,null,null,55.2,6.8,whole blood,,Cardiogenics Consortium,Healthy blood donors,European,whole blood
Initial,450K,224,0.35,null,null,50.1,10.1,leukocyte,EnviroGenoMarkers,,NSHDS,European,leukocyte
Initial,450K,2249,0.46,null,null,66,8.8,whole blood,FHS,Framingham Heart Study,,European,whole blood
Initial,450K,226,0.41,0,0,0,0,cord blood,CHS,Children’s Health Study,,European,cord blood
Initial,450K,2264,0.37,null,null,56.2,5.8,whole blood,ARIC,Atherosclerosis Risk in Communities,,African American or Afro-Caribbean,whole blood
Initial,450K,227,0.36,null,null,52.4,8.1,whole blood,GS,,,European,whole blood
Initial,450K,227,0.43,15,17,null,null,whole blood,ALSPAC,,,European,whole blood
Initial,450K,228,0.43,18.9,35.6,27.8,3.3,leukocyte,BP stress,Blood Pressure (BP) stress,,African American or Afro-Caribbean,leukocyte
Initial,450K,229,0,0,0,0,0,cord blood,,,Girls,African unspecified;European;Hispanic or Latin American;Other,cord blood
Initial,450K,229,0.4,0,0,0,0,cord blood,CHS,,,Not reported,cord blood
Initial,450K,23,0,null,null,47,null,saliva,,,Folic acid 5 mg/day,Not reported,saliva
Initial,450K,23,0.3,null,null,41,6.2,liver,,,Non-diabetic individuals with obesity,Not reported,liver
Initial,450K,23,0.3,null,null,41,6.2,subcutaneous adipose tissue,,,Non-diabetic individuals with obesity,Not reported,subcutaneous adipose tissue
Initial,450K,23,0.3,null,null,41,6.2,visceral adipose tissue,,,Non-diabetic individuals with obesity,Not reported,visceral adipose tissue
Initial,450K,23,0.3,null,null,41.8,9.9,liver,,,Diabetic individuals with obesity,Not reported,liver
Initial,450K,23,0.3,null,null,41.8,9.9,subcutaneous adipose tissue,,,Diabetic individuals with obesity,Not reported,subcutaneous adipose tissue
Initial,450K,23,0.3,null,null,41.8,9.9,visceral adipose tissue,,,Diabetic individuals with obesity,Not reported,visceral adipose tissue
Initial,450K,23,0.35,null,null,58.9,15.8,B-lymphocyte,,,Early RA,European,B-lymphocyte
Initial,450K,23,0.35,null,null,58.9,15.8,T-lymphocyte,,,Early RA,European,T-lymphocyte
Initial,450K,23,0.35,null,null,74.1,4.2,whole blood,,,Current smokers,European,whole blood
Initial,450K,23,0.43,null,null,47.1,10.7,leukocyte,,,Low folate (<300 μg/d),European,leukocyte
Initial,450K,23,0.43,null,null,null,null,peripheral blood mononuclear cell,,,Responders,Not reported,peripheral blood mononuclear cell
Initial,450K,23,0.52,0,0,0,0,neonatal blood,,,Intellectual Disability,Not reported,neonatal blood
Initial,450K,23,0.52,2,35,12,null,lymphocyte,,,,Not reported,lymphocyte
Initial,450K,23,0.52,null,null,27,0.8,skeletal muscle,,,,Not reported,skeletal muscle
Initial,450K,23,0.52,null,null,41.2,2.6,leukocyte,CARDIA,Coronary Artery Risk Development in Young Adults,high exposed,European,leukocyte
Initial,450K,23,0.57,0,0,0,0,cord blood,PELS,Prenatal Early Life Stress cohort,High pregnancy anxiety,European,cord blood
Initial,450K,23,0.57,null,null,21.7,2.8,whole blood,BFS,Scottish Bipolar Family Study,well high-risk individuals who remained well,Not reported,whole blood
Initial,450K,23,1,null,null,29.1,1.2,sperm,,,Low viability,Not reported,sperm
Initial,450K,23,1,null,null,37.3,4.4,adipose tissue,,,After exercise,Not reported,adipose tissue
Initial,450K,23,1,null,null,37.3,4.4,adipose tissue,,,Baseline,Not reported,adipose tissue
Initial,450K,23,1,null,null,46.9,10.3,CD3+ T cell,,,Controls,Not reported,CD3+ T cell
Initial,450K,23,1,null,null,62.2,12.6,peripheral blood mononuclear cell,,,control,Not reported,peripheral blood mononuclear cell
Initial,450K,23,null,null,null,0.72,0.05,leukocyte,,,CP Cases,African American or Afro-Caribbean;European;Hispanic or Latin American,leukocyte
Initial,450K,230,0.33,null,null,42,12,whole blood,GTP,Grady Trauma Project,,African American or Afro-Caribbean,whole blood
Initial,450K,2307,0.35,null,null,56.2,5.7,whole blood,ARIC,Atherosclerosis Risk in Communities,,African American or Afro-Caribbean,whole blood
Initial,450K,231,null,null,null,29.6,4.4,cord blood,MoBa3,,,European,cord blood
Initial,450K,231,null,null,null,29.6,4.4,cord blood ,MoBa3,,,European,cord blood 
Initial,450K,232,0.15,null,null,61,7.4,buffy coat,,,Never smokers,African American or Afro-Caribbean,buffy coat
Initial,450K,232,0.53,null,null,8.3,0.4,whole blood,BAMSE,Children’s Allergy Environment Stockholm Epidemiology study,,European,whole blood
Initial,450K,235,0.57,null,null,79.1,0.55,whole blood,LBC1921,Lothian Birth Cohort 1921,,Not reported,whole blood
Initial,450K,237,0,null,null,53.1,7.2,whole blood,EPIC-Italy,,,Not reported,whole blood
Initial,450K,2377,0.45,null,null,67,9,whole blood,FHS,Framingham Heart Study,,Not reported,whole blood
Initial,450K,238,0.24,73,90,null,null,buffy coat,LSADT,Longitudinal Study of Aging Danish Twins,,European,buffy coat
Initial,450K,239,0.85,null,null,55.2,6.8,whole blood,,Cardiogenics Consortium,myocardial infarction,European,whole blood
Initial,450K,239,null,null,null,60.1,8.4,leukocyte,GENOA,Genetic Epidemiology Network of Atherosclerosis,,African American or Afro-Caribbean,leukocyte
Initial,450K,24,0,19,35,26.83,5.34,whole blood,,,,African American or Afro-Caribbean;European;Hispanic or Latin American;Other,whole blood
Initial,450K,24,0,24,47,36,null,whole blood,NIHS,Norfolk Island Health Study,Norfolk Island,European,whole blood
Initial,450K,24,0,null,null,56.6,13.8,CD19+ B cell,,,Patients with pSS,European,CD19+ B cell
Initial,450K,24,0,null,null,63.24,7.8,saliva,,,Grandmothers - CDV+,Not reported,saliva
Initial,450K,24,0.13,null,null,55,15,whole blood,,,pSS high fatigue,European,whole blood
Initial,450K,24,0.17,null,null,57,13,whole blood,,,pSS low fatigue,European,whole blood
Initial,450K,24,0.21,null,null,46.8,10,CD4+ T cell,,,SSc Controls,East Asian,CD4+ T cell
Initial,450K,24,0.21,null,null,46.8,10,CD8+ T cell,,,SSc Controls,East Asian,CD8+ T cell
Initial,450K,24,0.29,null,null,47.4,14.1,CD4+ T cell,,,SSc Patients,East Asian,CD4+ T cell
Initial,450K,24,0.29,null,null,47.4,14.1,CD8+ T cell,,,SSc Patients,East Asian,CD8+ T cell
Initial,450K,24,0.34,null,null,13,2.6,saliva,,,IPV+,Not reported,saliva
Initial,450K,24,0.39,null,null,7.9,7.3,peripheral blood,,,patients,Not reported,peripheral blood
Initial,450K,24,0.42,null,null,42.4,7.7,whole blood,,,Controls,European,whole blood
Initial,450K,24,0.42,null,null,42.5,6.9,whole blood,,,Cases,European,whole blood
Initial,450K,24,0.458,null,null,79.47,10.02,cerebellum,,,symptomatic AD,Not reported,cerebellum
Initial,450K,24,0.46,3.5,19,14,null,colon,,,,Not reported,colon
Initial,450K,24,0.46,5,17,11.6,null,buccal epithelial cell,NeuroDevNet,Kids Brain Health Network,Controls,Asian unspecified;European;Not reported,buccal epithelial cell
Initial,450K,24,0.5,0,0,0,0,cord blood,,,Array cohort B dietetically treated GDM,European,cord blood
Initial,450K,24,0.5,0,0,0,0,cord blood,,,Array cohort B insulin-treated GDM,European,cord blood
Initial,450K,24,0.5,0,6,2.24,1.07,peripheral blood mononuclear cell,,,Control,Not reported,peripheral blood mononuclear cell
Initial,450K,24,0.5,null,null,10.7,0.4,leukocyte,GENOI,Grupo Navarro de Obesidad Infantil,,European,leukocyte
Initial,450K,24,0.5,null,null,37,null,whole blood,,,t(1;11) Non-carriers,Not reported,whole blood
Initial,450K,24,0.54,0,7,1.91,1.52,peripheral blood mononuclear cell,,,KD,Not reported,peripheral blood mononuclear cell
Initial,450K,24,0.63,3.5,18,9.1,null,buccal epithelial cell,NeuroDevNet,Kids Brain Health Network,FASD cases,Asian unspecified;European;Not reported,buccal epithelial cell
Initial,450K,24,0.63,null,null,49.6,8.9,leukocyte,,,High folate (≥300 μg/d),European,leukocyte
Initial,450K,24,0.67,0,0,0,0,placenta,,,Pre-term Control,Asian unspecified;European;Other,placenta
Initial,450K,24,0.79,0,0,0,0,peripheral blood lymphocyte,,,Control,Not reported,peripheral blood lymphocyte
Initial,450K,24,0.83,0,0,0,0,peripheral blood lymphocyte,,,Case,Not reported,peripheral blood lymphocyte
Initial,450K,24,0.875,null,null,null,null,peripheral blood mononuclear cell,,,COPD patients,Not reported,peripheral blood mononuclear cell
Initial,450K,24,1,null,null,47.5,10.1,CD3+ T cell,,,post-treatment alcohol dependent patients,Not reported,CD3+ T cell
Initial,450K,24,1,null,null,47.5,10.1,CD3+ T cell,,,pre-treatment alcohol dependent patients,Not reported,CD3+ T cell
Initial,450K,24,null,0,0,0,0,cord blood,,,,African American or Afro-Caribbean;European;Hispanic or Latin American;Other,cord blood
Initial,450K,24,null,null,null,40.7,8.5,CD19+ B cell,,,MS participant,Not reported,CD19+ B cell
Initial,450K,24,null,null,null,43.3,16.4,CD19+ B cell,,,Control,Not reported,CD19+ B cell
Initial,450K,24,null,null,null,null,null,peripheral blood mononuclear cell,,,cognitively impaired participants (MoCA <26),Not reported,peripheral blood mononuclear cell
Initial,450K,24,null,null,null,null,null,peripheral blood mononuclear cell,,,Controls,Not reported,peripheral blood mononuclear cell
Initial,450K,240,0.52,0,0,0,0,whole blood,Healthy Start,,,European,whole blood
Initial,450K,240,0.69,null,null,42.3,16,prefrontal cortex,,,adult control,European;Not reported,prefrontal cortex
Initial,450K,2408,0.46,null,null,66.4,8.9,whole blood,FHS,,,European,whole blood
Initial,450K,241,1,null,null,42.5,14,whole blood,NTR,Netherlands Twin Register,30 cases and 211 controls,Not reported,whole blood
Initial,450K,242,0.52,0,0,0,0,cord blood,,,,Not reported,cord blood
Initial,450K,242,null,0,0,0,0,cord blood,MoBa2,Norwegian Mother and Child Cohort Study,,Not reported,cord blood
Initial,450K,2427,0.45,null,null,66,9,whole blood,FHS,Framingham Heart Study,,European,whole blood
Initial,450K,243,0.35,null,null,43,5,whole blood,BHS,Bogalusa Heart Study,,African unspecified,whole blood
Initial,450K,243,null,null,null,null,null,liver,,,"224 HCC, nine cirrhotic, and ten normal",Not reported,liver
Initial,450K,244,0.46,0,7,null,null,whole blood,ALSPAC,Avon Longitudinal Study of Parents and Children,,Not reported,whole blood
Initial,450K,244,0.54,null,null,4.26,0.19,whole blood,BAMSE,Children’s Allergy Environment Stockholm Epidemiology study,,European,whole blood
Initial,450K,246,null,null,null,null,null,whole blood,,,control,European,whole blood
Initial,450K,2468,0.48,null,null,67,9,whole blood,FHS,Framingham Heart Study,,Not reported,whole blood
Initial,450K,249,1,0,0,0,0,cord blood,,,Boys,African unspecified;European;Hispanic or Latin American;Other,cord blood
Initial,450K,2496,0.67,54.1,65.5,60.8,null,peripheral blood mononuclear cell,MCCS,Melbourne Collaborative Cohort Study,,European,peripheral blood mononuclear cell
Initial,450K,25,0,21,43,null,null,whole blood,,,control,Not reported,whole blood
Initial,450K,25,0.2,18,76,40,null,thyroid,,,,Not reported,thyroid
Initial,450K,25,0.52,0,0,0,0,cord blood,POSEIDON,,Smoking subgroup,Not reported,cord blood
Initial,450K,25,0.52,null,null,23.8,4.1,whole blood,,,Non-converters,Not reported,whole blood
Initial,450K,25,0.56,0,0,0,0,placenta,ELGAN,Extremely Low for Gestational Age Newborns,Indicated EPTB,African American or Afro-Caribbean;European;Other,placenta
Initial,450K,25,0.6,null,null,73.6,8.9,retinal pigment epithelium,,,AMD,Not reported,retinal pigment epithelium
Initial,450K,25,1,14,14,14,0,peripheral blood mononuclear cell,COAST,,post-puberty,African American or Afro-Caribbean;European,peripheral blood mononuclear cell
Initial,450K,25,1,8,8,8,0,peripheral blood mononuclear cell,COAST,,pre-puberty,African American or Afro-Caribbean;European,peripheral blood mononuclear cell
Initial,450K,25,1,null,null,40,15.1,skin,,,paird PP / PN,Not reported,skin
Initial,450K,25,1,null,null,41.6,13.2,skin,,,NN,Not reported,skin
Initial,450K,25,null,null,null,null,null,bladder,,,,Not reported,bladder
Initial,450K,251,0,null,null,null,null,whole blood,MCCS,Melbourne Collaborative Cohort Study,,Not reported,whole blood
Initial,450K,251,0.247,null,null,53.3,8.1,leukocyte,EPIC-Italy,European Prospective Investigation into Cancer and Nutrition study,,European,leukocyte
Initial,450K,2519,0.31,null,null,36.79,13.01,whole blood,,,,Not reported,whole blood
Initial,450K,252,null,0,0,0,0,cord blood,MoBa3,Norwegian Mother and Child Cohort Study,,European,cord blood
Initial,450K,2542,0.46,null,null,66.3,8.9,whole blood,FHS,Framingham Offspring Study,,European,whole blood
Initial,450K,255,0.53,0,0,0,0,whole blood,GECKO,,,European,whole blood
Initial,450K,255,null,0,0,0,0,cord blood,GECKO,,GECKO,European,cord blood
Initial,450K,256,0.465,50.6,53.2,51.9,null,whole blood,,,T2D cases,Sub-Saharan African,whole blood
Initial,450K,257,0.5,null,null,50.4,null,whole blood,RODAM,Research on Obesity and Diabetes among African Migrants,No obesity,Sub-Saharan African,whole blood
Initial,450K,257,0.51,0,0,0,0,cord blood,Project Viva,,,African unspecified;European;Hispanic or Latin American;Other,cord blood
Initial,450K,257,0.54,0,0,0,0,cord blood,POSEIDON,,Non-smoking subgroup,Not reported,cord blood
Initial,450K,2586,0.67,40,76,61,null,whole blood,MCCS,Melbourne Collaborative Cohort Study,,European,whole blood
Initial,450K,259,1,null,null,null,null,whole blood,KORA F4,Kooperative Gesundheitsforschung in der Region Augsburg,Never smokers,Not reported,whole blood
Initial,450K,2595,0.46,null,null,66.3,8.9,whole blood,FHS,Framingham Heart Study,,European,whole blood
Initial,450K,26,0,null,null,58,14,CD19+ B cell,,,pSS patients,European,CD19+ B cell
Initial,450K,26,0.54,null,null,13.6,0.1,whole blood,,,Non-obese sample,Not reported,whole blood
Initial,450K,26,1,null,null,68.2,6.1,whole blood,,,Current smokers,European,whole blood
Initial,450K,26,null,null,null,49.4,2,peripheral blood mononuclear cell,,,SLE patients (disease activity index<=6),African American or Afro-Caribbean;European,peripheral blood mononuclear cell
Initial,450K,261,0,52,78,64,null,leukocyte,,,,Not reported,leukocyte
Initial,450K,261,0.79,null,null,53.8,13.1,whole blood,WHZH,,,East Asian,whole blood
Initial,450K,261,0.97,null,null,48.8,8,whole blood,VACS,Veteran Aging Cohort Study,HIV-infected,African American or Afro-Caribbean;European;Other,whole blood
Initial,450K,262,0.54,46,76,57,null,whole blood,KORA F4,Kooperative Gesundheitsforschung in der Region Augsburg,Current smokers,Not reported,whole blood
